Rank,Team,Sport,Team Value,Championships,Year Purchased
1,Dallas Cowboys,NFL,6.5,5,1989
2,New York Yankees,MLB,5.25,27,1973
3,New York Knicks,NBA,5.8,2,1997
4,Barcelona,Soccer,4.76,,
5,Real Madrid,Soccer,4.75,,
6,Golden State Warriors,NBA,5.6,6,2010
7,Los Angeles Lakers,NBA,5.5,16,"2021, 1979"
8,New England Patriots,NFL,5.0,6,1994
9,New York Giants,NFL,4.85,8,"1925, 1991"
10,Bayern Munich,Soccer,4.22,,
11,Manchester United,Soccer,4.2,,
12,Liverpool,Soccer,4.1,,
13,Los Angeles Rams,NFL,4.8,3,2010
14,Manchester City,Soccer,4.0,,
15,San Francisco 49ers,NFL,4.175,5,1977
16,Los Angeles Dodgers,MLB,3.57,7,2012
17,New York Jets,NFL,4.05,1,2000
18,Chicago Bears,NFL,4.075,9,1920
19,Washington Football Team,NFL,4.2,5,1999
20,Boston Red Sox,MLB,3.465,9,2002
21,Philadelphia Eagles,NFL,3.8,4,1994
22,Chicago Cubs,MLB,3.36,3,2009
23,Houston Texans,NFL,3.7,0,1999
24,Chicago Bulls,NBA,3.65,6,1985
25,Denver Broncos,NFL,3.75,3,1984
26,Boston Celtics,NBA,3.55,17,2002
27,Chelsea,Soccer,3.2,,
28,San Francisco Giants,MLB,3.175,8,1993
29,Las Vegas Raiders,NFL,3.415,3,1966
30,Seattle Seahawks,NFL,3.5,1,1997
31,Green Bay Packers,NFL,3.475,13,1921
32,Pittsburgh Steelers,NFL,3.43,6,1933
33,Baltimore Ravens,NFL,3.4,2,2004
34,Minnesota Vikings,NFL,3.35,0,2005
35,Miami Dolphins,NFL,3.42,2,2009
36,Atlanta Falcons,NFL,3.2,0,2002
37,Indianapolis Colts,NFL,3.25,4,1972
38,Arsenal,Soccer,2.8,,
39,Los Angeles Clippers,NBA,3.3,0,2014
40,Brooklyn Nets,NBA,3.2,0,2019
41,Los Angeles Chargers,NFL,2.92,0,1984
42,Carolina Panthers,NFL,2.91,0,2018
43,Kansas City Chiefs,NFL,2.93,1,1960
44,Houston Rockets,NBA,2.75,2,2017
45,Paris Saint-Germain,Soccer,2.5,,
46,New Orleans Saints,NFL,2.825,1,1985
47,Jacksonville Jaguars,NFL,2.8,0,2011
48,New York Mets,MLB,2.45,2,2020
49,Dallas Mavericks,NBA,2.7,1,2000
50,Cleveland Browns,NFL,2.6,8,2012
