Rank,Team,Sport,Team Value,Championships,Year Purchased,Year Competing
1,Dallas Cowboys,NFL,6.5,5,1989,32
2,New York Yankees,MLB,5.25,27,1973,48
3,New York Knicks,NBA,5.8,2,1997,24
4,Barcelona,Soccer,4.76,5,1899,122
5,Real Madrid,Soccer,4.75,13,1902,119
6,Golden State Warriors,NBA,5.6,6,2010,11
7,Los Angeles Lakers,NBA,5.5,16,1979,42
8,New England Patriots,NFL,5.0,6,1994,27
9,New York Giants,NFL,4.85,8,1991,30
10,Bayern Munich,Soccer,4.22,6,1900,121
11,Manchester United,Soccer,4.2,3,1902,119
12,Liverpool,Soccer,4.1,6,1892,129
13,Los Angeles Rams,NFL,4.8,3,2010,11
14,Manchester City,Soccer,4.0,0,1894,127
15,San Francisco 49ers,NFL,4.175,5,1977,44
16,Los Angeles Dodgers,MLB,3.57,7,2012,9
17,New York Jets,NFL,4.05,1,2000,21
18,Chicago Bears,NFL,4.075,9,1920,101
19,Washington Football Team,NFL,4.2,5,1999,22
20,Boston Red Sox,MLB,3.465,9,2002,19
21,Philadelphia Eagles,NFL,3.8,4,1994,27
22,Chicago Cubs,MLB,3.36,3,2009,12
23,Houston Texans,NFL,3.7,0,1999,22
24,Chicago Bulls,NBA,3.65,6,1985,36
25,Denver Broncos,NFL,3.75,3,1984,37
26,Boston Celtics,NBA,3.55,17,2002,19
27,Chelsea,Soccer,3.2,2,1905,116
28,San Francisco Giants,MLB,3.175,8,1993,28
29,Las Vegas Raiders,NFL,3.415,3,1966,55
30,Seattle Seahawks,NFL,3.5,1,1997,24
31,Green Bay Packers,NFL,3.475,13,1921,100
32,Pittsburgh Steelers,NFL,3.43,6,1933,88
33,Baltimore Ravens,NFL,3.4,2,2004,17
34,Minnesota Vikings,NFL,3.35,0,2005,16
35,Miami Dolphins,NFL,3.42,2,2009,12
36,Atlanta Falcons,NFL,3.2,0,2002,19
37,Indianapolis Colts,NFL,3.25,4,1972,49
38,Arsenal,Soccer,2.8,0,1886,135
39,Los Angeles Clippers,NBA,3.3,0,2014,7
40,Brooklyn Nets,NBA,3.2,0,2019,2
41,Los Angeles Chargers,NFL,2.92,0,1984,37
42,Carolina Panthers,NFL,2.91,0,2018,3
43,Kansas City Chiefs,NFL,2.93,1,1960,61
44,Houston Rockets,NBA,2.75,2,2017,4
45,Paris Saint-Germain,Soccer,2.5,0,1970,51
46,New Orleans Saints,NFL,2.825,1,1985,36
47,Jacksonville Jaguars,NFL,2.8,0,2011,10
48,New York Mets,MLB,2.45,2,2020,1
49,Dallas Mavericks,NBA,2.7,1,2000,21
50,Cleveland Browns,NFL,2.6,8,2012,9
